date,printful_cost,printify_cost,burger_cost,total
2024-12-07,0,0,14.99,14.99
2024-12-12,0,0,12.49,12.49
2025-01-10,0,0,0.0,0.0
2025-01-11,0,0,14.99,14.99
2025-01-12,0,0,22.98,22.98
2025-01-13,0,0,12.99,12.99
2025-01-14,0,0,12.99,12.99
2025-01-20,0,0,38.97,38.97
2025-01-21,0,0,30.97,30.97
2025-01-23,0,0,12.99,12.99
2025-01-28,0,0,120.42,120.42
2025-02-03,0,0,43.47,43.47
2025-02-08,0,0,22.48,22.48
2025-02-09,0,0,25.48,25.48
2025-02-11,0,0,0.0,0.0
2025-02-12,0,0,30.96,30.96
2025-02-13,0,0,24.48,24.48
2025-02-17,0,40.3,24.99,65.29
2025-02-18,0,191.61,0,191.61
2025-02-19,0,14.3,0,14.3
2025-02-20,0,79.75,0,79.75
2025-02-21,0,73.41,12.99,86.4
2025-02-22,0,79.16,46.97,126.13
2025-02-23,0,43.19,13.49,56.68
2025-02-24,0,87.22,0,87.22
2025-02-25,0,70.34,0,70.34
2025-02-27,0,73.01,0,73.01
2025-02-28,0,14.87,0,14.87
2025-03-01,0,0,23.98,23.98
2025-03-03,0,12.88,0,12.88
2025-03-05,0,19.12,0,19.12
2025-03-06,0,14.04,0,14.04
2025-03-07,0,12.99,0,12.99
2025-03-08,0,19.12,0,19.12
2025-03-09,0,12.99,0,12.99
2025-03-10,0,114.27,24.99,139.26
2025-03-11,217.7,129.13,0,346.83
2025-03-12,52.5,27.03,0,79.53
2025-03-13,31.67,12.88,0,44.55
2025-03-14,47.46,0,0,47.46
2025-03-15,88.25,30.06,30.48,148.79
2025-03-16,0,25.98,0,25.98
2025-03-17,375.25,47.28,0,422.53
2025-03-18,159.92,27.25,0,187.17
2025-03-19,366.27,19.12,0,385.39
2025-03-20,142.17,12.78,0,154.95
2025-03-21,250.51,41.22,0,291.73
2025-03-22,0,26.86,24.99,51.85
2025-03-23,12.81,85.4,0,98.21
2025-03-24,439.15,144.11,0,583.26
2025-03-25,21.95,144.11,0,166.06
2025-03-26,32.58,18.25,0,50.83
